text,spam
"Subject: ""Monthly summary: Your account performance report""",0
"Subject: ""Follow-up: Your recent support request""",0
"Subject: ""Reminder: Upcoming deadlines for project submissions""",0
"Subject: ""Details: Your recent purchase confirmation""",0
"Subject: ""Invitation: Participate in our annual survey""",0
"Subject: ""Update: Changes to your service plan""",0
"Subject: ""Confirmation: Your new subscription has started""",0
"Subject: ""Reminder: Payment for your recent invoice is due soon""",0
"Subject: ""Details: Your recent service upgrade""",0
"Subject: ""Invitation: Attend our quarterly review meeting""",0
"Subject: ""Reminder: Update your contact information""",0
"Subject: ""Confirmation: Your feedback has been submitted""",0
"Subject: ""Details: Upcoming workshop schedule""",0
"Subject: ""Follow-up: Your recent application status""",0
"Subject: ""Reminder: Complete your registration for the event""",0
"Subject: ""Confirmation: Your order has been processed""",0
"Subject: ""Update: New policy changes affecting your account""",0
"Subject: ""Invitation: Join our professional networking event""",0
"Subject: ""Reminder: Your account settings have been updated""",0
"Subject: ""Follow-up: Your subscription plan details""",0
"Subject: ""Details: Your account renewal process""",0
"Subject: ""Confirmation: Your support ticket has been closed""",0
"Subject: ""Reminder: Review your upcoming meeting agenda""",0
"Subject: ""Invitation: Participate in our community forum""",0
"Subject: ""Update: Information about your recent purchase""",0
"Subject: ""Confirmation: Your account has been updated""",0
"Subject: ""Reminder: Upcoming training session registration""",0
"Subject: ""Details: Your account status report""",0
"Subject: ""Invitation: Attend our annual gala dinner""",0
"Subject: ""Follow-up: Your feedback request""",0
"Subject: ""Reminder: Your subscription will renew soon""",0
"Subject: ""Confirmation: Your webinar registration is complete""",0
"Subject: ""Reminder: Your meeting with John is scheduled for 2 PM""",0
"Subject: ""Confirmation: Your request for a new credit card has been approved""",0
"Subject: ""Update: New features available in your account""",0
"Subject: ""Invitation: Join our team-building event""",0
"Subject: ""Reminder: Complete your annual performance review""",0
"Subject: ""Confirmation: Your application for the training program has been received""",0
"Subject: ""Monthly summary: Your usage report is available""",0
"Subject: ""Follow-up: Your recent inquiry has been addressed""",0
"Subject: ""Reminder: Submit your report by Friday""",0
"Subject: ""Details: Your recent order has been delivered""",0
"Subject: ""Invitation: Participate in our upcoming workshop""",0
"Subject: ""Update: Your subscription plan has been renewed""",0
"Subject: ""Confirmation: Your new account has been activated""",0
"Subject: ""Reminder: Payment for your subscription is due""",0
"Subject: ""Details: Your service request has been processed""",0
"Subject: ""Invitation: Join us for a networking event""",0
"Subject: ""Reminder: Update your profile information""",0
"Subject: ""Confirmation: Your feedback has been received""",0
"Subject: ""Details: Upcoming project deadlines""",0
"Subject: ""Follow-up: Status of your recent application""",0
"Subject: ""Reminder: Register for the upcoming seminar""",0
"Subject: ""Confirmation: Your purchase has been confirmed""",0
"Subject: ""Update: Your account details have been updated""",0
"Subject: ""Invitation: Attend our quarterly meeting""",0
"Subject: ""Reminder: Complete your registration for the conference""",0
"Subject: ""Details: Your recent payment has been processed""",0
"Subject: ""Confirmation: Your support request has been resolved""",0
"Subject: ""Update: New changes to your subscription plan""",0
"Subject: ""Invitation: Join our next client presentation""",0
"Subject: ""Reminder: Your subscription will renew soon""",0
"Subject: ""Confirmation: Your new service plan is active""",0
"Subject: ""Follow-up: Your recent feedback is appreciated""",0
"Subject: ""Reminder: Update your contact information""",0
"Subject: ""Details: Your order status update""",0
"Subject: ""Invitation: Participate in our research study""",0
"Subject: ""Confirmation: Your webinar registration has been confirmed""",0
"Subject: ""Reminder: Your project submission is due soon""",0
"Subject: ""Update: Changes to your account settings""",0
"Subject: ""Invitation: Join our annual review meeting""",0
"Subject: ""Confirmation: Your application has been processed""",0
"Subject: ""Reminder: Attend the upcoming training session""",0
"Subject: ""Details: Your recent request for information""",0
"Subject: ""Follow-up: Your recent inquiry has been addressed""",0
"Subject: ""Reminder: Your subscription renewal date""",0
"Subject: ""Confirmation: Your account has been updated""",0
"Subject: ""Update: Your account status report""",0
"Subject: ""Invitation: Join us for a special event""",0
"Subject: ""Reminder: Your feedback is needed""",0
"Subject: ""Details: Your service request has been fulfilled""",0
"Subject: ""Confirmation: Your order has been shipped""",0
"Subject: ""Reminder: Upcoming project deadlines""",0
"Subject: ""Update: Your subscription plan details""",0
"Subject: ""Invitation: Attend our industry conference""",0
"Subject: ""Confirmation: Your registration is complete""",0
"Subject: ""Reminder: Your upcoming meeting with the client""",0
"Subject: ""Details: Your recent purchase has been shipped""",0
"Subject: ""Follow-up: Your recent service request""",0
"Subject: ""Reminder: Complete your profile setup""",0
"Subject: ""Update: Your account details have been updated""",0
"Subject: ""Invitation: Join our next strategy session""",0
"Subject: ""Confirmation: Your account has been activated""",0
